FaceSex,FaceAgeGroup,FaceAge,subject,face.a,ag.old,ag.young,at.old,at.young,ba.old,ba.young,co.old,co.young,he.old,he.young,un.old,un.young
M,YA,17,O164,YM2g39r,3,3.8125,4,3.625,3.232142857,3.125,4.098214286,4.25,5.3125,4,3.25,3.9375
M,YA,18,O168,YM2g41r,4.4375,4.875,2.6875,2.9375,2.276785714,2.8125,3.517857143,3.8125,4.875,4.4375,4,4.25
M,YA,17,O172,YM2g42r,2.5625,3.1875,3.8125,3.125,3.232142857,4.375,4.660714286,4.375,5.1875,4.5,3.25,3.125
F,YA,17,O179,YW2g41r,4.4375,5.5,2.5,3,2.732142857,3.5625,3.428571429,4.25,4.625,4.1875,4.125,4.875
M,YA,16,O184,YM2g43r,1.6875,2.1875,4.5625,4.75,4.276785714,4.625,4.330357143,4.8125,5.5,5.625,2.6875,2.4375
F,YA,17,O207,YW2g42r,1.8125,2,3.0625,2.5625,3.303571429,3.5625,4.375,4.0625,4.8125,4.3125,3.25,2.8125
M,YA,17,O216,YM2g44r,2.8125,2.5,4.625,5.5,3.008928571,4,4.785714286,5.25,5.75,6,3.1875,2.9375
M,YA,17,O230,YM2g45r,4.625,4.625,3,3.8125,2.339285714,2.8125,3.660714286,3.75,4,4,4.5625,4.75
M,YA,17,O232,YM2g46r,3.9375,4.1875,3.375,4,2.8125,2.75,3.464285714,3.75,4.6875,4.3125,4,4.375
F,YA,16,O233,YW2g46r,2.3125,3.5625,3,2.625,3.0625,3.875,3.973214286,4.4375,4.5,4.0625,3.75,3.9375
M,YA,17,O234,YM2g47r,4.0625,4.375,3.8125,3.4375,2.875,2.875,3.660714286,3.4375,4.6875,4.125,4,4.1875
M,YA,17,O236,YM2g48r,4,4.8125,3.5625,3.1875,2.8125,3.75,3.741071429,3.125,4.4375,4,3.9375,4.75
F,YA,16,O243,YW2g47r,1.625,2.6875,4.75,4.375,3.383928571,3.625,4.919642857,5.125,5.625,5.625,3.375,2.3125
M,YA,17.5,O250,YM2g49r,3.75,4.5,2.3125,2.3125,2.803571429,4.25,3.223214286,3.4375,4,3.5,4.125,5.0625
F,YA,17.5,O293,YW2g48r,3.4375,3.5,3.0625,3.1875,3.267857143,4.5625,4.232142857,4.875,4.5,4.1875,4,3.875
F,YA,17.5,O303,YW2g50r,2.625,2.875,4.6875,4.8125,3.848214286,4.4375,4.232142857,4.75,5.1875,5.125,3.25,3.125
F,YA,17.5,O305,YW2g51r,2.8125,3.625,3.625,3.375,3.1875,3.25,3.982142857,4.3125,4.6875,4.1875,3.125,3.9375
